"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"54446";"https://dadosabertos.camara.leg.br/api/v2/eventos/54446";"";"2018-12-14T15:31:00";"2018-12-14T16:55:00";"Encerrada";"Homenagem aos Dezoito Anos da ONG Programando o Futuro";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"54441";"https://dadosabertos.camara.leg.br/api/v2/eventos/54441";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700917";"2018-12-14T10:29:02";"2018-12-14T13:36:03";"Encerrada";"CONVIDADOS:


- Sr. GUILHERME FREDERICO DE SOUZA PANZENHAGEN - Defensor Público do Distrito Federal; (confirmado)

- Sra. MARIANA ROSA - Presidente da Associação Humanizando Presídio - AHUP; (confirmada)

- Sr. CELSO WAGNER LIMA - Subsecretário do Sistema Penitenciário do Distrito Federal e representante da Secretária de Segurança Pública do DF; (confirmado)

- Sr. MICHEL PLATINI - Presidente do Conselho Distrital de Promoção
e Defesa dos Direitos Humanos do GDF; (Confirmado)

- Sr. CÉSAR MECCHI MORALES - Presidente do Conselho Nacional de Política 
Criminal e Penitenciária do Ministério da Justiça; (a confirmar)

- Sra. ALESSANDRA PAES - Representante da Associação de Familiares de Internos e Internas do Sistema Penitenciário do DF e Entorno. (confirmado)";"Outro Evento";"";"Anexo II, Plenário 09";"";"";""
"54445";"https://dadosabertos.camara.leg.br/api/v2/eventos/54445";"";"2018-12-14T09:00:00";"";"Encerrada(Comunicado)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"54434";"https://dadosabertos.camara.leg.br/api/v2/eventos/54434";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700383";"2018-12-13T14:00:00";"";"Cancelada";"O Debate contará com a presença do secretário de Gestão de Pessoas do Ministério do Planejamento, Augusto Akira Chiba.";"Reunião Técnica";"";"Anexo II, Plenário 10";"";"";""
"54438";"https://dadosabertos.camara.leg.br/api/v2/eventos/54438";"";"2018-12-13T10:52:00";"2018-12-13T12:29:00";"Encerrada";"Relembrar os Cinquenta Anos do AI-5 e em Homenagem ao Ex-Vice-Presidente Pedro Aleixo";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"54408";"https://dadosabertos.camara.leg.br/api/v2/eventos/54408";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700385";"2018-12-13T10:00:00";"";"Encerrada (Termo)";"- Discussão e Votação do Parecer";"Reunião Deliberativa";"";"Anexo II, Plenário 03";"";"";""
"54437";"https://dadosabertos.camara.leg.br/api/v2/eventos/54437";"";"2018-12-13T09:13:00";"2018-12-13T10:42:00";"Encerrada";"Homenagem aos Vinte Anos da TV Câmara";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"54436";"https://dadosabertos.camara.leg.br/api/v2/eventos/54436";"";"2018-12-13T09:00:00";"2018-12-13T15:54:00";"Encerrada";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"54432";"https://dadosabertos.camara.leg.br/api/v2/eventos/54432";"";"2018-12-12T18:08:00";"2018-12-12T20:12:00";"Encerrada";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"54342";"https://dadosabertos.camara.leg.br/api/v2/eventos/54342";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1698135";"2018-12-12T16:00:00";"";"Cancelada";"Reunião Deliberativa Extraordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 03";"";"";""
